No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
12875,85945,45809,40136,15884,10027,20,45390,27901,17489,28790,20883,7907,9867,741
12875,85945,45809,40136,15884,10027,20,45390,27901,17489,28790,20883,7907,9867,741
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,3916,2075,1841,754,983,0,1827,1102,725,1816,1074,742,929,25
1874,12316,6729,5587,2048,770,0,7150,4238,2912,4373,3171,1202,1845,264
479,3439,1818,1621,579,26,0,1734,1110,624,1363,883,480,253,50
393,2364,1263,1101,404,241,0,1490,872,618,549,517,32,67,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2011,1087,924,464,449,0,635,463,172,833,507,326,257,0
220,1337,696,641,188,50,6,919,532,387,366,324,42,50,0
593,3600,1906,1694,633,79,0,2053,1239,814,955,873,82,369,3
225,1422,763,659,247,0,0,859,488,371,400,357,43,43,20
218,1447,753,694,304,3,0,651,449,202,559,370,189,166,4
153,1039,544,495,137,25,0,614,362,252,260,247,13,155,1
69,373,194,179,59,0,0,281,153,128,123,102,21,56,0
153,882,483,399,117,5,0,584,361,223,272,224,48,68,4
62,480,261,219,88,0,0,249,152,97,100,90,10,17,1
49,324,178,146,77,55,0,43,41,2,166,99,67,91,0
261,1836,1028,808,381,289,0,638,437,201,747,436,311,461,14
74,574,315,259,108,99,0,178,129,49,313,181,132,0,4
101,868,471,397,189,271,0,330,209,121,327,212,115,139,7
400,2694,1408,1286,615,252,5,939,666,273,725,597,128,202,5
353,2078,1087,991,329,298,0,1152,701,451,690,483,207,249,46
176,1177,589,588,313,38,0,450,297,153,308,223,85,153,8
367,2312,1207,1105,560,396,0,955,647,308,915,553,362,311,3
214,1730,930,800,309,159,0,733,494,239,602,407,195,289,1
407,2935,1592,1343,690,386,0,1112,790,322,1018,648,370,561,12
368,2923,1558,1365,667,484,0,1306,907,399,1164,636,528,262,5
288,1924,1043,881,354,286,0,1011,708,303,522,439,83,143,2
83,783,409,374,166,105,0,363,245,118,348,182,166,149,0
1255,7721,4047,3674,1371,1393,7,4513,2629,1884,2213,1806,407,901,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,1220,615,605,180,162,0,821,457,364,302,202,100,32,2
585,3976,2105,1871,702,431,2,2459,1445,1014,1526,997,529,416,27
314,2383,1265,1118,392,492,0,1579,910,669,699,542,157,82,33
220,1507,786,721,257,48,0,937,532,405,493,375,118,20,0
982,6517,3506,3011,1112,507,0,3529,2189,1340,2077,1703,374,454,81
543,3260,1690,1570,521,337,0,2024,1156,868,810,763,47,188,53
121,860,461,399,161,0,0,584,327,257,231,213,18,43,3
281,1717,947,770,408,908,0,688,464,224,625,447,178,446,1
8345,51496,27369,24127,9252,4628,254,25811,15550,10261,16990,12520,4470,4484,985
8345,51496,27369,24127,9252,4628,254,25811,15550,10261,16990,12520,4470,4484,985
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1786,11442,6060,5382,2335,676,0,4105,2618,1487,3830,2452,1378,2246,66
492,3048,1583,1465,616,411,0,1204,736,468,1195,721,474,34,19
215,1356,726,630,161,185,0,1008,582,426,507,371,136,27,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,1410,724,686,256,360,4,740,443,297,510,360,150,142,0
356,2188,1152,1036,306,297,0,1462,817,645,669,553,116,67,28
80,555,289,266,124,319,7,186,108,78,266,138,128,0,0
381,2228,1204,1024,376,231,0,1345,837,508,692,583,109,31,5
188,1000,522,478,176,8,0,536,332,204,240,225,15,79,0
